sales_date,order_id,customer_name,product_name,category,price,quantity,discount,total,shipping_fee,total_sales,status,shipping_address,city,customer_name_clean,status_clean,shipping_address_clean,city_clean,category_clean
2025-07-16,ORD05494,Customer_3802,Spatula Silikon,Peralatan Masak,35000,1,0,35000,50000,85000,completed,Kelurahan 140, Bekasi,Customer_3802,complete,Kelurahan 140,Bekasi,Alat Masak
2025-07-31,ORD05912,Customer_6358,Spatula Silikon,Peralatan Masak,35000,1,0,35000,50000,85000,completed,Kelurahan 77, Bekasi,Customer_6358,complete,Kelurahan 77,Bekasi,Alat Masak
2025-09-04,ORD06889,Customer_5340,Saringan Teh Stainless,Peralatan Minum,35000,1,0,35000,50000,85000,completed,Kelurahan 94, Bekasi,Customer_5340,complete,Kelurahan 94,Bekasi,Alat Saji
2025-01-10,ORD00260,Customer_618,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,Done,Kelurahan 161, Bekasi,Customer_618,complete,Kelurahan 161,Bekasi,Alat Masak
2025-02-15,ORD01293,Customer_1720,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 129, Bekasi,Customer_1720,complete,Kelurahan 129,Bekasi,Alat Masak
2025-03-13,ORD02016,Customer_1538,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 163, Bekasi,Customer_1538,complete,Kelurahan 163,Bekasi,Alat Masak
2025-04-02,ORD02528,Customer_3633,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 66, Bekasi,Customer_3633,complete,Kelurahan 66,Bekasi,Alat Masak
2025-04-17,ORD02953,Customer_3994,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 137, Bekasi,Customer_3994,complete,Kelurahan 137,Bekasi,Alat Masak
2025-05-15,ORD03738,Customer_1556,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 132, Bekasi,Customer_1556,complete,Kelurahan 132,Bekasi,Alat Masak
2025-05-25,ORD04009,Customer_340,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 131, Bekasi,Customer_340,complete,Kelurahan 131,Bekasi,Alat Masak
2025-06-27,ORD04912,Customer_5805,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 56, Bekasi,Customer_5805,complete,Kelurahan 56,Bekasi,Alat Masak
2025-07-19,ORD05570,Customer_3585,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 70, Bekasi,Customer_3585,complete,Kelurahan 70,Bekasi,Alat Masak
2025-09-02,ORD06817,Customer_4337,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,cancel,Kelurahan 148, Bekasi,Customer_4337,cancel,Kelurahan 148,Bekasi,Alat Masak
2025-10-06,ORD07737,Customer_1335,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 193, Bekasi,Customer_1335,complete,Kelurahan 193,Bekasi,Alat Masak
2025-10-08,ORD07807,Customer_340,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 115, Bekasi,Customer_340,complete,Kelurahan 115,Bekasi,Alat Masak
2025-11-02,ORD08465,Customer_298,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,refund,Kelurahan 67, Bekasi,Customer_298,refund,Kelurahan 67,Bekasi,Alat Masak
2025-12-07,ORD09376,Customer_202,Sendok Sayur Stainless,Peralatan Masak,39000,1,0,39000,50000,89000,refund,Kelurahan 129, Bekasi,Customer_202,refund,Kelurahan 129,Bekasi,Alat Masak
2025-12-21,ORD09718,Customer_345,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,1,0,39000,50000,89000,completed,Kelurahan 94, Bekasi,Customer_345,complete,Kelurahan 94,Bekasi,Alat Masak
2025-11-11,ORD08685,Customer_6221,Sarung Tangan Oven,Bakeware,45000,1,0,40500,50000,90500,completed,Kelurahan 129, Bekasi,Customer_6221,complete,Kelurahan 129,Bekasi,Alat Masak
2025-01-07,ORD00188,Customer_5236,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,completed,Kelurahan 113, Bekasi,Customer_5236,complete,Kelurahan 113,Bekasi,Alat Masak
2025-01-24,ORD00678,Customer_6042,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,completed,Kelurahan 77, Bekasi,Customer_6042,complete,Kelurahan 77,Bekasi,Alat Masak
2025-03-08,ORD01861,Customer_8,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,cancel,Kelurahan 107, Bekasi,Customer_8,cancel,Kelurahan 107,Bekasi,Alat Masak
2025-05-17,ORD03792,Customer_5490,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,completed,Kelurahan 160, Bekasi,Customer_5490,complete,Kelurahan 160,Bekasi,Alat Masak
2025-06-09,ORD04424,Customer_5206,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,completed,Kelurahan 167, Bekasi,Customer_5206,complete,Kelurahan 167,Bekasi,Alat Masak
2025-11-07,ORD08590,Customer_3626,Capitan Makanan Stainless,Peralatan Masak,42000,1,0,42000,50000,92000,Done,Kelurahan 68, Bekasi,Customer_3626,complete,Kelurahan 68,Bekasi,Alat Masak
2025-01-29,ORD00785,Customer_1114,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 78, Bekasi,Customer_1114,complete,Kelurahan 78,Bekasi,Alat Masak
2025-02-20,ORD01424,Customer_42,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 49, Bekasi,Customer_42,complete,Kelurahan 49,Bekasi,Alat Masak
2025-04-06,ORD02662,Customer_1478,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 162, Bekasi,Customer_1478,complete,Kelurahan 162,Bekasi,Alat Masak
2025-05-17,ORD03791,Customer_1448,Talenan Plastik Antibakteri,Alat Potong,45000,1,0,45000,50000,95000,completed,Kelurahan 140, Bekasi,Customer_1448,complete,Kelurahan 140,Bekasi,Alat Masak
2025-06-24,ORD04829,Customer_1118,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 155, Bekasi,Customer_1118,complete,Kelurahan 155,Bekasi,Alat Masak
2025-08-13,ORD06260,Customer_3848,Talenan Plastik Antibakteri,Alat Potong,45000,1,0,45000,50000,95000,completed,Kelurahan 177, Bekasi,Customer_3848,complete,Kelurahan 177,Bekasi,Alat Masak
2025-08-30,ORD06748,Customer_531,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,cancel,Kelurahan 176, Bekasi,Customer_531,cancel,Kelurahan 176,Bekasi,Alat Masak
2025-09-13,ORD07084,Customer_2289,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 46, Bekasi,Customer_2289,complete,Kelurahan 46,Bekasi,Alat Masak
2025-10-14,ORD07990,Customer_4442,Talenan Plastik Antibakteri,Alat Potong,45000,1,0,45000,50000,95000,refund,Kelurahan 42, Bekasi,Customer_4442,refund,Kelurahan 42,Bekasi,Alat Masak
2025-11-21,ORD08958,Customer_760,Sarung Tangan Oven,Bakeware,45000,1,0,45000,50000,95000,completed,Kelurahan 150, Bekasi,Customer_760,complete,Kelurahan 150,Bekasi,Alat Masak
2025-02-23,ORD01487,Customer_5721,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 182, Bekasi,Customer_5721,complete,Kelurahan 182,Bekasi,Alat Masak
2025-03-23,ORD02304,Customer_648,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 95, Bekasi,Customer_648,complete,Kelurahan 95,Bekasi,Alat Masak
2025-03-24,ORD02321,Customer_2389,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 153, Bekasi,Customer_2389,complete,Kelurahan 153,Bekasi,Alat Masak
2025-05-18,ORD03810,Customer_460,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 191, Bekasi,Customer_460,complete,Kelurahan 191,Bekasi,Alat Masak
2025-06-30,ORD05006,Customer_2187,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 76, Bekasi,Customer_2187,complete,Kelurahan 76,Bekasi,Alat Masak
2025-09-21,ORD07324,Customer_378,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 3, Bekasi,Customer_378,complete,Kelurahan 3,Bekasi,Alat Masak
2025-12-25,ORD09825,Customer_1042,Saringan Minyak,Peralatan Masak,48000,1,0,48000,50000,98000,completed,Kelurahan 107, Bekasi,Customer_1042,complete,Kelurahan 107,Bekasi,Alat Masak
2025-04-12,ORD02822,Customer_630,Tempat Tisu Meja,Aksesori Dapur,49000,1,0,49000,50000,99000,cancel,Kelurahan 81, Bekasi,Customer_630,cancel,Kelurahan 81,Bekasi,Alat Simpan
2025-07-22,ORD05626,Customer_2031,Tempat Tisu Meja,Aksesori Dapur,49000,1,0,49000,50000,99000,completed,Kelurahan 190, Bekasi,Customer_2031,complete,Kelurahan 190,Bekasi,Alat Simpan
2025-09-27,ORD07503,Customer_2175,Tempat Tisu Meja,Aksesori Dapur,49000,1,0,49000,50000,99000,completed,Kelurahan 136, Bekasi,Customer_2175,complete,Kelurahan 136,Bekasi,Alat Simpan
2025-12-03,ORD09279,Customer_41,Tempat Tisu Meja,Aksesori Dapur,49000,1,0,49000,50000,99000,completed,Kelurahan 124, Bekasi,Customer_41,complete,Kelurahan 124,Bekasi,Alat Simpan
2025-04-17,ORD02954,Customer_3374,Dispenser Sabun Cuci Piring,Aksesori Dapur,55000,1,0,55000,50000,105000,cancel,Kelurahan 168, Bekasi,Customer_3374,cancel,Kelurahan 168,Bekasi,Alat Simpan
2025-08-20,ORD06454,Customer_38,Dispenser Sabun Cuci Piring,Aksesori Dapur,55000,1,0,55000,50000,105000,completed,Kelurahan 84, Bekasi,Customer_38,complete,Kelurahan 84,Bekasi,Alat Simpan
2025-09-22,ORD07342,Customer_44,Dispenser Sabun Cuci Piring,Aksesori Dapur,55000,1,0,55000,50000,105000,completed,Kelurahan 130, Bekasi,Customer_44,complete,Kelurahan 130,Bekasi,Alat Simpan
2025-11-07,ORD08596,Customer_1175,Dispenser Sabun Cuci Piring,Aksesori Dapur,55000,1,0,55000,50000,105000,refund,Kelurahan 17, Bekasi,Customer_1175,refund,Kelurahan 17,Bekasi,Alat Simpan
2025-01-17,ORD00485,Customer_45,Pengupas Buah,Peralatan Masak,28000,2,0,56000,50000,106000,completed,Kelurahan 92, Bekasi,Customer_45,complete,Kelurahan 92,Bekasi,Alat Masak
2025-02-22,ORD01483,Customer_6356,Pengupas Buah,Peralatan Masak,28000,2,0,56000,50000,106000,completed,Kelurahan 64, Bekasi,Customer_6356,complete,Kelurahan 64,Bekasi,Alat Masak
2025-07-23,ORD05650,Customer_364,Pengupas Buah,Peralatan Masak,28000,2,0,56000,50000,106000,completed,Kelurahan 1, Bekasi,Customer_364,complete,Kelurahan 1,Bekasi,Alat Masak
2025-10-12,ORD07910,Customer_5568,Pengupas Buah,Peralatan Masak,28000,2,0,56000,50000,106000,completed,Kelurahan 76, Bekasi,Customer_5568,complete,Kelurahan 76,Bekasi,Alat Masak
2025-01-15,ORD00439,Customer_176,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 32, Bekasi,Customer_176,complete,Kelurahan 32,Bekasi,Alat Masak
2025-04-15,ORD02895,Customer_543,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 50, Bekasi,Customer_543,complete,Kelurahan 50,Bekasi,Alat Masak
2025-04-30,ORD03330,Customer_5948,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 67, Bekasi,Customer_5948,complete,Kelurahan 67,Bekasi,Alat Masak
2025-07-02,ORD05092,Customer_6014,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 196, Bekasi,Customer_6014,complete,Kelurahan 196,Bekasi,Alat Masak
2025-07-12,ORD05371,Customer_208,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,refund,Kelurahan 169, Bekasi,Customer_208,refund,Kelurahan 169,Bekasi,Alat Masak
2025-10-22,ORD08195,Customer_6071,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 138, Bekasi,Customer_6071,complete,Kelurahan 138,Bekasi,Alat Masak
2025-11-21,ORD08959,Customer_3921,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 200, Bekasi,Customer_3921,complete,Kelurahan 200,Bekasi,Alat Masak
2025-12-07,ORD09375,Customer_758,Gunting Dapur Multifungsi,Alat Potong,59000,1,0,59000,50000,109000,completed,Kelurahan 86, Bekasi,Customer_758,complete,Kelurahan 86,Bekasi,Alat Masak
2025-04-04,ORD02618,Customer_45,Kotak Makan Bento,Penyimpanan,69000,1,0,62100,50000,112100,completed,Kelurahan 133, Bekasi,Customer_45,complete,Kelurahan 133,Bekasi,Alat Simpan
2025-09-09,ORD06985,Customer_5920,Saringan Teh Stainless,Peralatan Minum,35000,2,0,63000,50000,113000,cancel,Kelurahan 22, Bekasi,Customer_5920,cancel,Kelurahan 22,Bekasi,Alat Saji
2025-11-11,ORD08695,Customer_2210,Saringan Teh Stainless,Peralatan Minum,35000,2,0,63000,50000,113000,completed,Kelurahan 135, Bekasi,Customer_2210,complete,Kelurahan 135,Bekasi,Alat Saji
2025-01-29,ORD00796,Customer_4339,Pisau Roti Stainless,Alat Potong,65000,1,0,65000,50000,115000,completed,Kelurahan 110, Bekasi,Customer_4339,complete,Kelurahan 110,Bekasi,Alat Masak
2025-02-08,ORD01072,Customer_3984,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 106, Bekasi,Customer_3984,complete,Kelurahan 106,Bekasi,Alat Masak
2025-03-11,ORD01933,Customer_282,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 24, Bekasi,Customer_282,complete,Kelurahan 24,Bekasi,Alat Masak
2025-03-13,ORD02006,Customer_242,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 88, Bekasi,Customer_242,complete,Kelurahan 88,Bekasi,Alat Masak
2025-04-12,ORD02821,Customer_3673,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 123, Bekasi,Customer_3673,complete,Kelurahan 123,Bekasi,Alat Masak
2025-06-27,ORD04911,Customer_887,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 101, Bekasi,Customer_887,complete,Kelurahan 101,Bekasi,Alat Masak
2025-07-02,ORD05068,Customer_3678,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 75, Bekasi,Customer_3678,complete,Kelurahan 75,Bekasi,Alat Masak
2025-07-12,ORD05384,Customer_1043,Pisau Roti Stainless,Alat Potong,65000,1,0,65000,50000,115000,cancel,Kelurahan 89, Bekasi,Customer_1043,cancel,Kelurahan 89,Bekasi,Alat Masak
2025-07-19,ORD05564,Customer_5202,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 157, Bekasi,Customer_5202,complete,Kelurahan 157,Bekasi,Alat Masak
2025-10-12,ORD07928,Customer_148,Pisau Roti Stainless,Alat Potong,65000,1,0,65000,50000,115000,Completed,Kelurahan 110, Bekasi,Customer_148,complete,Kelurahan 110,Bekasi,Alat Masak
2025-10-14,ORD07981,Customer_5208,Parutan Multifungsi,Peralatan Masak,65000,1,0,65000,50000,115000,completed,Kelurahan 67, Bekasi,Customer_5208,complete,Kelurahan 67,Bekasi,Alat Masak
2025-12-26,ORD09863,Customer_1677,Pisau Roti Stainless,Alat Potong,65000,1,0,65000,50000,115000,completed,Kelurahan 141, Bekasi,Customer_1677,complete,Kelurahan 141,Bekasi,Alat Masak
2025-03-09,ORD01890,Customer_9,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 59, Bekasi,Customer_9,complete,Kelurahan 59,Bekasi,Alat Simpan
2025-05-03,ORD03420,Customer_203,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 121, Bekasi,Customer_203,complete,Kelurahan 121,Bekasi,Alat Simpan
2025-07-18,ORD05539,Customer_3975,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,KELURAHAN  52, BEKASI   ,Customer_3975,complete,Kelurahan 52,Bekasi,Alat Simpan
2025-08-31,ORD06777,Customer_731,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 105, Bekasi,Customer_731,complete,Kelurahan 105,Bekasi,Alat Simpan
2025-09-10,ORD07035,Customer_989,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 162, Bekasi,Customer_989,complete,Kelurahan 162,Bekasi,Alat Simpan
2025-09-18,ORD07229,Customer_477,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 69, Bekasi,Customer_477,complete,Kelurahan 69,Bekasi,Alat Simpan
2025-11-03,ORD08502,Customer_420,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan  160, Bekasi   ,Customer_420,complete,Kelurahan 160,Bekasi,Alat Simpan
2025-11-18,ORD08877,Customer_5009,Kotak Makan Bento,Penyimpanan,69000,1,0,69000,50000,119000,completed,Kelurahan 147, Bekasi,Customer_5009,complete,Kelurahan 147,Bekasi,Alat Simpan
2025-01-19,ORD00555,Customer_3780,Saringan Teh Stainless,Peralatan Minum,35000,2,0,70000,50000,120000,completed,Kelurahan 50, Bekasi,Customer_3780,complete,Kelurahan 50,Bekasi,Alat Saji
2025-03-09,ORD01887,Customer_334,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,refund,Kelurahan 135, Bekasi,Customer_334,refund,Kelurahan 135,Bekasi,Alat Masak
2025-04-15,ORD02887,Customer_334,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,completed,Kelurahan 132, Bekasi,Customer_334,complete,Kelurahan 132,Bekasi,Alat Masak
2025-04-30,ORD03335,Customer_348,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,completed,KELURAHAN 156, BEKASI,Customer_348,complete,Kelurahan 156,Bekasi,Alat Masak
2025-05-01,ORD03343,Customer_5307,Saringan Teh Stainless,Peralatan Minum,35000,2,0,70000,50000,120000,completed,Kelurahan 49, Bekasi,Customer_5307,complete,Kelurahan 49,Bekasi,Alat Saji
2025-08-26,ORD06626,Customer_32,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,completed,Kelurahan 129, Bekasi,Customer_32,complete,Kelurahan 129,Bekasi,Alat Masak
2025-09-15,ORD07125,Customer_200,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,refund,Kelurahan 42, Bekasi,Customer_200,refund,Kelurahan 42,Bekasi,Alat Masak
2025-10-09,ORD07848,Customer_119,Spatula Silikon,Peralatan Masak,35000,2,0,70000,50000,120000,cancel,Kelurahan 39, Bekasi,Customer_119,cancel,Kelurahan 39,Bekasi,Alat Masak
2025-11-25,ORD09070,Customer_3920,Saringan Teh Stainless,Peralatan Minum,35000,2,0,70000,50000,120000,completed,Kelurahan 47, Bekasi,Customer_3920,complete,Kelurahan 47,Bekasi,Alat Saji
2025-11-11,ORD08703,Customer_3274,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,70200,50000,120200,completed,Kelurahan 69, Bekasi,Customer_3274,complete,Kelurahan 69,Bekasi,Alat Masak
2025-02-02,ORD00921,Customer_5545,Apron Masak Premium,Aksesori Dapur,79000,1,0,71100,50000,121100,completed,Kelurahan 129, Bekasi,Customer_5545,complete,Kelurahan 129,Bekasi,Alat Simpan
2025-07-07,ORD05237,Customer_4173,Apron Masak Premium,aksesori dapur,79000,1,0,71100,50000,121100,completed,Kelurahan 187, Bekasi,Customer_4173,complete,Kelurahan 187,Bekasi,Alat Simpan
2025-05-05,ORD03457,Customer_2753,Nampan Kayu,Peralatan Saji,85000,1,0,76500,50000,126500,completed,Kelurahan 173, Bekasi,Customer_2753,complete,Kelurahan 173,Bekasi,Alat Saji
2025-02-08,ORD01068,Customer_1487,Sutil Kayu Set 3 pcs,  Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 134, Bekasi,Customer_1487,complete,Kelurahan 134,Bekasi,Alat Masak
2025-04-16,ORD02941,Customer_636,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 124, Bekasi,Customer_636,complete,Kelurahan 124,Bekasi,Alat Masak
2025-04-24,ORD03189,Customer_794,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 143, Bekasi,Customer_794,complete,Kelurahan 143,Bekasi,Alat Masak
2025-05-13,ORD03679,Customer_3575,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 125, Bekasi,Customer_3575,complete,Kelurahan 125,Bekasi,Alat Masak
2025-05-19,ORD03857,Customer_1974,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 71, Bekasi,Customer_1974,complete,Kelurahan 71,Bekasi,Alat Masak
2025-07-12,ORD05361,Customer_3361,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 70, Bekasi,Customer_3361,complete,Kelurahan 70,Bekasi,Alat Masak
2025-07-24,ORD05685,Customer_1015,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 117, Bekasi,Customer_1015,complete,Kelurahan 117,Bekasi,Alat Masak
2025-09-18,ORD07237,Customer_3168,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 194, Bekasi,Customer_3168,complete,Kelurahan 194,Bekasi,Alat Masak
2025-09-22,ORD07347,Customer_1,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,refund,Kelurahan 193, Bekasi,Customer_1,refund,Kelurahan 193,Bekasi,Alat Masak
2025-09-22,ORD07351,Customer_705,Sutil Kayu Set 3 pcs,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 10, Bekasi,Customer_705,complete,Kelurahan 10,Bekasi,Alat Masak
2025-11-24,ORD09062,Customer_1527,Sendok Sayur Stainless,Peralatan Masak,39000,2,0,78000,50000,128000,completed,Kelurahan 67, Bekasi,Customer_1527,complete,Kelurahan 67,Bekasi,Alat Masak
2025-04-06,ORD02641,Customer_108,Apron Masak Premium,Aksesori Dapur,79000,1,0,79000,50000,129000,refund,Kelurahan 65, Bekasi,Customer_108,refund,Kelurahan 65,Bekasi,Alat Simpan
2025-06-01,ORD04200,Customer_3356,Mortar dan Pestle Kayu,Peralatan Masak,79000,1,0,79000,50000,129000,completed,Kelurahan 68, Bekasi,Customer_3356,complete,Kelurahan 68,Bekasi,Alat Masak
2025-06-01,ORD04217,Customer_1016,Apron Masak Premium,Aksesori Dapur,79000,1,0,79000,50000,129000,completed,Kelurahan 127, Bekasi,Customer_1016,complete,Kelurahan 127,Bekasi,Alat Simpan
2025-06-04,ORD04264,Customer_4253,Apron Masak Premium,Aksesori Dapur,79000,1,0,79000,50000,129000,completed,Kelurahan 33, Bekasi,Customer_4253,complete,Kelurahan 33,Bekasi,Alat Simpan
2025-06-27,ORD04928,Customer_1798,Mortar dan Pestle Kayu,Peralatan Masak,79000,1,0,79000,50000,129000,completed,Kelurahan 145, Bekasi,Customer_1798,complete,Kelurahan 145,Bekasi,Alat Masak
2025-07-16,ORD05491,CUSTOMER_3689,Apron Masak Premium,Aksesori Dapur,79000,1,0,79000,50000,129000,completed,Kelurahan 124, Bekasi,Customer_3689,complete,Kelurahan 124,Bekasi,Alat Simpan
